Title,Abstract,Citation Count,Publication Date,Joy_Score,Confidence_Score,Concern_Score,Curiosity_Score,Analytical_Score,Tentative_Score,Urgency_Score,Sentiment_Score,Primary_Emotions
The chemistry of cyclopropanols,"Cyclopropanol and its derivatives are carbocyclic homologues of enols, and there is an obvious similarity in chemical properties between these classes of compounds due to the well-…",537,"OG Kulinkovich - Chemical reviews, 2003 - ACS Publications",0,0,0,0,0,0,0,0.0,['Neutral']
Nanoplasmonics for chemistry,… how nanoplasmonics can benefit chemistry and review the … Chemistry is another field of science that can potentially … advances in plasmon-assisted chemistry. The first section gives the …,741,"G Baffou, R Quidant - Chemical Society Reviews, 2014 - pubs.rsc.org",0,0,0,0,0,1,0,0.4588,['Tentative']
The chemistry of vicinal diamines,"… His research interests are organic and bioorganic chemistry. … [13b] Vicinal diamines have also found application in cryptand chemistry.[14] Indeed, they are interesting building blocks for …",1101,"D Lucet, T Le Gall, C Mioskowski - … Chemie International Edition, 1998 - Wiley Online Library",0,0,0,1,0,0,0,0.4215,['Curiosity']
Chemistry with ADF,"We present the theoretical and technical foundations of the Amsterdam Density Functional (ADF) program with a survey of the characteristics of the code (numerical integration, density …",10729,"G Te Velde, FM Bickelhaupt… - … Chemistry, 2001 - Wiley Online Library",0,0,0,0,0,0,0,0.0,['Neutral']
The development of modern chemistry,… of progress in the theory and application of chemistry-places important discoveries in the … -demonstrates chemistry's central role among the modern sciencesMany historians of chemistry …,929,AJ Ihde - 1984 - books.google.com,0,0,0,0,0,0,1,0.5574,['Urgency']
Organofluorine chemistry,"… organic chemistry, so that organofluorine chemistry is economically highly important. Organofluorine Chemistry will help chemists to develop a systematic knowledge of the chemistry of …",1368,K Uneyama - 2008 - books.google.com,0,0,0,0,0,0,1,0.5849,['Urgency']
Chemistry of spiroketals,… He attended Bellarmine- Jefferson High School where he first encountered chemistry but … general and organic chemistry in particular and received a BA degree in chemistry in 1976. …,849,"F Perron, KF Albizati - Chemical Reviews, 1989 - ACS Publications",0,0,0,0,0,0,0,0.0,['Neutral']
The Chemistry of Imines.,"… Since the chemistry of imines has not been covered comprehensively previously (287), this review covers their chemistry from the time of their discovery by Schiff in 1864 through …",1506,"RW Layer - Chemical reviews, 1963 - ACS Publications",0,0,0,0,0,0,0,0.0,['Neutral']
Chemistry and technology of silicones,"… This book comprises 12 chapters, and begins with a general discussion of the chemistry and molecular … This book will be of interest to practitioners in the fields of molecular chemistry. …",1991,W Noll - 2012 - books.google.com,0,0,0,0,0,0,0,0.4588,['Neutral']
Exploring chemistry,"Real research studies with Gaussian involve not only larger molecules than the ones we've generally looked at so far, but also multiple calculations to thoroughly investigate systems of …",7228,"J Foresman, E Frish - Gaussian Inc., Pittsburg, USA, 1996 - researchgate.net",0,0,0,0,1,0,0,0.0,['Analytical']
Chemistry of dioxiranes. 12. Dioxiranes,… for a wide-ranging development of the chemistry of these interesting … It may be that the chemistry described in this review will … degree in chemistry from Wesleyan University and a Ph.D. …,961,"RW Murray - Chemical Reviews, 1989 - ACS Publications",0,0,0,1,0,1,0,0.4019,"['Curiosity', 'Tentative']"
The basics of chemistry,"… of organic chemistry as simply the chemistry of carbon compounds and inorganic chemistry as the … of organic and inorganic chemistry, several other large divisions of chemistry exist. Bio…",170,R Myers - 2003 - 103.254.244.3,0,0,0,0,0,0,0,0.0,['Neutral']
